, LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
167,CN0511300000000,5,113,"Polk County, AR",,,,
168,CN0511500000000,5,115,"Pope County, AR",,,,
169,CN0511700000000,5,117,"Prairie County, AR",,,,
170,CN0511900000000,5,119,"Pulaski County, AR",,,,
171,CN0512100000000,5,121,"Randolph County, AR",,,,
172,CN0512300000000,5,123,"St. Francis County, AR",,,,
173,CN0512500000000,5,125,"Saline County, AR",,,,
174,CN0512700000000,5,127,"Scott County, AR",,,,
175,CN0512900000000,5,129,"Searcy County, AR",,,,
176,CN0513100000000,5,131,"Sebastian County, AR",,,,
177,CN0513300000000,5,133,"Sevier County, AR",,,,
178,CN0513500000000,5,135,"Sharp County, AR",,,,
179,CN0513700000000,5,137,"Stone County, AR",,,,
180,CN0513900000000,5,139,"Union County, AR",,,,
181,CN0514100000000,5,141,"Van Buren County, AR",,,,
182,CN0514300000000,5,143,"Washington County, AR",,,,
183,CN0514500000000,5,145,"White County, AR",,,,
184,CN0514700000000,5,147,"Woodruff County, AR",,,,
185,CN0514900000000,5,149,"Yell County, AR",,,,
186,CN0600100000000,6,1,"Alameda County, CA",,,,
187,CN0600300000000,6,3,"Alpine County, CA",,,,
188,CN0600500000000,6,5,"Amador County, CA",,,,
189,CN0600700000000,6,7,"Butte County, CA",,,,
190,CN0600900000000,6,9,"Calaveras County, CA",,,,
191,CN0601100000000,6,11,"Colusa County, CA",,,,
192,CN0601300000000,6,13,"Contra Costa County, CA",,,,
193,CN0601500000000,6,15,"Del Norte County, CA",,,,
194,CN0601700000000,6,17,"El Dorado County, CA",,,,
195,CN0601900000000,6,19,"Fresno County, CA",,,,
196,CN0602100000000,6,21,"Glenn County, CA",,,,
197,CN0602300000000,6,23,"Humboldt County, CA",,,,
198,CN0602500000000,6,25,"Imperial County, CA",,,,
199,CN0602700000000,6,27,"Inyo County, CA",,,,
200,CN0602900000000,6,29,"Kern County, CA",,,,
201,CN0603100000000,6,31,"Kings County, CA",,,,
202,CN0603300000000,6,33,"Lake County, CA",,,,
203,CN0603500000000,6,35,"Lassen County, CA",,,,
204,CN0603700000000,6,37,"Los Angeles County, CA",,,,
205,CN0603900000000,6,39,"Madera County, CA",,,,
206,CN0604100000000,6,41,"Marin County, CA",,,,
207,CN0604300000000,6,43,"Mariposa County, CA",,,,
208,CN0604500000000,6,45,"Mendocino County, CA",,,,
209,CN0604700000000,6,47,"Merced County, CA",,,,
210,CN0604900000000,6,49,"Modoc County, CA",,,,
211,CN0605100000000,6,51,"Mono County, CA",,,,
212,CN0605300000000,6,53,"Monterey County, CA",,,,
213,CN0605500000000,6,55,"Napa County, CA",,,,
214,CN0605700000000,6,57,"Nevada County, CA",,,,
215,CN0605900000000,6,59,"Orange County, CA",,,,
216,CN0606100000000,6,61,"Placer County, CA",,,,
217,CN0606300000000,6,63,"Plumas County, CA",,,,
218,CN0606500000000,6,65,"Riverside County, CA",,,,
219,CN0606700000000,6,67,"Sacramento County, CA",,,,
220,CN0606900000000,6,69,"San Benito County, CA",,,,
221,CN0607100000000,6,71,"San Bernardino County, CA",,,,
222,CN0607300000000,6,73,"San Diego County, CA",,,,
223,CN0607500000000,6,75,"San Francisco County/city, CA",,,,
224,CN0607700000000,6,77,"San Joaquin County, CA",,,,
225,CN0607900000000,6,79,"San Luis Obispo County, CA",,,,
226,CN0608100000000,6,81,"San Mateo County, CA",,,,
227,CN0608300000000,6,83,"Santa Barbara County, CA",,,,
228,CN0608500000000,6,85,"Santa Clara County, CA",,,,
229,CN0608700000000,6,87,"Santa Cruz County, CA",,,,
230,CN0608900000000,6,89,"Shasta County, CA",,,,
231,CN0609100000000,6,91,"Sierra County, CA",,,,
232,CN0609300000000,6,93,"Siskiyou County, CA",,,,
233,CN0609500000000,6,95,"Solano County, CA",,,,
234,CN0609700000000,6,97,"Sonoma County, CA",,,,
235,CN0609900000000,6,99,"Stanislaus County, CA",,,,
236,CN0610100000000,6,101,"Sutter County, CA",,,,
237,CN0610300000000,6,103,"Tehama County, CA",,,,
238,CN0610500000000,6,105,"Trinity County, CA",,,,
239,CN0610700000000,6,107,"Tulare County, CA",,,,
240,CN0610900000000,6,109,"Tuolumne County, CA",,,,
241,CN0611100000000,6,111,"Ventura County, CA",,,,
242,CN0611300000000,6,113,"Yolo County, CA",,,,
243,CN0611500000000,6,115,"Yuba County, CA",,,,
244,CN0800100000000,8,1,"Adams County, CO",,,,
245,CN0800300000000,8,3,"Alamosa County, CO",,,,
246,CN0800500000000,8,5,"Arapahoe County, CO",,,,
247,CN0800700000000,8,7,"Archuleta County, CO",,,,
248,CN0800900000000,8,9,"Baca County, CO",,,,
249,CN0801100000000,8,11,"Bent County, CO",,,,
250,CN0801300000000,8,13,"Boulder County, CO",,,,
251,CN0801400000000,8,14,"Broomfield County/city, CO",,,,
252,CN0801500000000,8,15,"Chaffee County, CO",,,,
253,CN0801700000000,8,17,"Cheyenne County, CO",,,,
254,CN0801900000000,8,19,"Clear Creek County, CO",,,,
255,CN0802100000000,8,21,"Conejos County, CO",,,,
256,CN0802300000000,8,23,"Costilla County, CO",,,,
257,CN0802500000000,8,25,"Crowley County, CO",,,,
258,CN0802700000000,8,27,"Custer County, CO",,,,
259,CN0802900000000,8,29,"Delta County, CO",,,,
260,CN0803100000000,8,31,"Denver County/city, CO",,,,
261,CN0803300000000,8,33,"Dolores County, CO",,,,
262,CN0803500000000,8,35,"Douglas County, CO",,,,
263,CN0803700000000,8,37,"Eagle County, CO",,,,
264,CN0803900000000,8,39,"Elbert County, CO",,,,
265,CN0804100000000,8,41,"El Paso County, CO",,,,
266,CN0804300000000,8,43,"Fremont County, CO",,,,
267,CN0804500000000,8,45,"Garfield County, CO",,,,
268,CN0804700000000,8,47,"Gilpin County, CO",,,,
269,CN0804900000000,8,49,"Grand County, CO",,,,
270,CN0805100000000,8,51,"Gunnison County, CO",,,,
271,CN0805300000000,8,53,"Hinsdale County, CO",,,,
272,CN0805500000000,8,55,"Huerfano County, CO",,,,
273,CN0805700000000,8,57,"Jackson County, CO",,,,
274,CN0805900000000,8,59,"Jefferson County, CO",,,,
275,CN0806100000000,8,61,"Kiowa County, CO",,,,
276,CN0806300000000,8,63,"Kit Carson County, CO",,,,
277,CN0806500000000,8,65,"Lake County, CO",,,,
278,CN0806700000000,8,67,"La Plata County, CO",,,,
279,CN0806900000000,8,69,"Larimer County, CO",,,,
280,CN0807100000000,8,71,"Las Animas County, CO",,,,
281,CN0807300000000,8,73,"Lincoln County, CO",,,,
282,CN0807500000000,8,75,"Logan County, CO",,,,
283,CN0807700000000,8,77,"Mesa County, CO",,,,
284,CN0807900000000,8,79,"Mineral County, CO",,,,
285,CN0808100000000,8,81,"Moffat County, CO",,,,
286,CN0808300000000,8,83,"Montezuma County, CO",,,,
287,CN0808500000000,8,85,"Montrose County, CO",,,,
288,CN0808700000000,8,87,"Morgan County, CO",,,,
289,CN0808900000000,8,89,"Otero County, CO",,,,
290,CN0809100000000,8,91,"Ouray County, CO",,,,
291,CN0809300000000,8,93,"Park County, CO",,,,
292,CN0809500000000,8,95,"Phillips County, CO",,,,
293,CN0809700000000,8,97,"Pitkin County, CO",,,,
294,CN0809900000000,8,99,"Prowers County, CO",,,,
295,CN0810100000000,8,101,"Pueblo County, CO",,,,
296,CN0810300000000,8,103,"Rio Blanco County, CO",,,,
297,CN0810500000000,8,105,"Rio Grande County, CO",,,,
298,CN0810700000000,8,107,"Routt County, CO",,,,
299,CN0810900000000,8,109,"Saguache County, CO",,,,
300,CN0811100000000,8,111,"San Juan County, CO",,,,
301,CN0811300000000,8,113,"San Miguel County, CO",,,,
302,CN0811500000000,8,115,"Sedgwick County, CO",,,,
303,CN0811700000000,8,117,"Summit County, CO",,,,
304,CN0811900000000,8,119,"Teller County, CO",,,,
305,CN0812100000000,8,121,"Washington County, CO",,,,
306,CN0812300000000,8,123,"Weld County, CO",,,,
307,CN0812500000000,8,125,"Yuma County, CO",,,,
308,CN0900100000000,9,1,"Fairfield County, CT",,,,
309,CN0900300000000,9,3,"Hartford County, CT",,,,
310,CN0900500000000,9,5,"Litchfield County, CT",,,,
311,CN0900700000000,9,7,"Middlesex County, CT",,,,
312,CN0900900000000,9,9,"New Haven County, CT",,,,
313,CN0901100000000,9,11,"New London County, CT",,,,
314,CN0901300000000,9,13,"Tolland County, CT",,,,
315,CN0901500000000,9,15,"Windham County, CT",,,,
316,CN1000100000000,10,1,"Kent County, DE",,,,
317,CN1000300000000,10,3,"New Castle County, DE",,,,
318,CN1000500000000,10,5,"Sussex County, DE",,,,
319,CN1100100000000,11,1,District of Columbia,,,,
320,CN1200100000000,12,1,"Alachua County, FL",,,,
321,CN1200300000000,12,3,"Baker County, FL",,,,
322,CN1200500000000,12,5,"Bay County, FL",,,,
323,CN1200700000000,12,7,"Bradford County, FL",,,,
324,CN1200900000000,12,9,"Brevard County, FL",,,,
325,CN1201100000000,12,11,"Broward County, FL",,,,
326,CN1201300000000,12,13,"Calhoun County, FL",,,,
327,CN1201500000000,12,15,"Charlotte County, FL",,,,
328,CN1201700000000,12,17,"Citrus County, FL",,,,
329,CN1201900000000,12,19,"Clay County, FL",,,,
330,CN1202100000000,12,21,"Collier County, FL",,,,
331,CN1202300000000,12,23,"Columbia County, FL",,,,
332,CN1202700000000,12,27,"DeSoto County, FL",,,,
333,CN1202900000000,12,29,"Dixie County, FL",,,,
334,CN1203100000000,12,31,"Duval County, FL",,,,
335,CN1203300000000,12,33,"Escambia County, FL",,,,
336,CN1203500000000,12,35,"Flagler County, FL",,,,
337,CN1203700000000,12,37,"Franklin County, FL",,,,
338,CN1203900000000,12,39,"Gadsden County, FL",,,,
339,CN1204100000000,12,41,"Gilchrist County, FL",,,,
340,CN1204300000000,12,43,"Glades County, FL",,,,
341,CN1204500000000,12,45,"Gulf County, FL",,,,
342,CN1204700000000,12,47,"Hamilton County, FL",,,,
343,CN1204900000000,12,49,"Hardee County, FL",,,,
344,CN1205100000000,12,51,"Hendry County, FL",,,,
345,CN1205300000000,12,53,"Hernando County, FL",,,,
346,CN1205500000000,12,55,"Highlands County, FL",,,,
347,CN1205700000000,12,57,"Hillsborough County, FL",,,,
348,CN1205900000000,12,59,"Holmes County, FL",,,,
349,CN1206100000000,12,61,"Indian River County, FL",,,,
350,CN1206300000000,12,63,"Jackson County, FL",,,,
351,CN1206500000000,12,65,"Jefferson County, FL",,,,
352,CN1206700000000,12,67,"Lafayette County, FL",,,,
353,CN1206900000000,12,69,"Lake County, FL",,,,
354,CN1207100000000,12,71,"Lee County, FL",,,,
355,CN1207300000000,12,73,"Leon County, FL",,,,
356,CN1207500000000,12,75,"Levy County, FL",,,,
357,CN1207700000000,12,77,"Liberty County, FL",,,,
358,CN1207900000000,12,79,"Madison County, FL",,,,
359,CN1208100000000,12,81,"Manatee County, FL",,,,
360,CN1208300000000,12,83,"Marion County, FL",,,,
361,CN1208500000000,12,85,"Martin County, FL",,,,
362,CN1208600000000,12,86,"Miami-Dade County, FL",,,,
363,CN1208700000000,12,87,"Monroe County, FL",,,,
364,CN1208900000000,12,89,"Nassau County, FL",,,,
365,CN1209100000000,12,91,"Okaloosa County, FL",,,,
366,CN1209300000000,12,93,"Okeechobee County, FL",,,,
367,CN1209500000000,12,95,"Orange County, FL",,,,
368,CN1209700000000,12,97,"Osceola County, FL",,,,
369,CN1209900000000,12,99,"Palm Beach County, FL",,,,
370,CN1210100000000,12,101,"Pasco County, FL",,,,
371,CN1210300000000,12,103,"Pinellas County, FL",,,,
372,CN1210500000000,12,105,"Polk County, FL",,,,
373,CN1210700000000,12,107,"Putnam County, FL",,,,
374,CN1210900000000,12,109,"St. Johns County, FL",,,,
375,CN1211100000000,12,111,"St. Lucie County, FL",,,,
376,CN1211300000000,12,113,"Santa Rosa County, FL",,,,
377,CN1211500000000,12,115,"Sarasota County, FL",,,,
378,CN1211700000000,12,117,"Seminole County, FL",,,,
379,CN1211900000000,12,119,"Sumter County, FL",,,,
380,CN1212100000000,12,121,"Suwannee County, FL",,,,
381,CN1212300000000,12,123,"Taylor County, FL",,,,
382,CN1212500000000,12,125,"Union County, FL",,,,
383,CN1212700000000,12,127,"Volusia County, FL",,,,
384,CN1212900000000,12,129,"Wakulla County, FL",,,,
385,CN1213100000000,12,131,"Walton County, FL",,,,
386,CN1213300000000,12,133,"Washington County, FL",,,,
387,CN1300100000000,13,1,"Appling County, GA",,,,
388,CN1300300000000,13,3,"Atkinson County, GA",,,,
389,CN1300500000000,13,5,"Bacon County, GA",,,,
390,CN1300700000000,13,7,"Baker County, GA",,,,
391,CN1300900000000,13,9,"Baldwin County, GA",,,,
392,CN1301100000000,13,11,"Banks County, GA",,,,
393,CN1301300000000,13,13,"Barrow County, GA",,,,
394,CN1301500000000,13,15,"Bartow County, GA",,,,
395,CN1301700000000,13,17,"Ben Hill County, GA",,,,
396,CN1301900000000,13,19,"Berrien County, GA",,,,
397,CN1302100000000,13,21,"Bibb County, GA",,,,
398,CN1302300000000,13,23,"Bleckley County, GA",,,,
399,CN1302500000000,13,25,"Brantley County, GA",,,,
400,CN1302700000000,13,27,"Brooks County, GA",,,,
401,CN1302900000000,13,29,"Bryan County, GA",,,,
402,CN1303100000000,13,31,"Bulloch County, GA",,,,
403,CN1303300000000,13,33,"Burke County, GA",,,,
404,CN1303500000000,13,35,"Butts County, GA",,,,
405,CN1303700000000,13,37,"Calhoun County, GA",,,,
406,CN1303900000000,13,39,"Camden County, GA",,,,
407,CN1304300000000,13,43,"Candler County, GA",,,,
408,CN1304500000000,13,45,"Carroll County, GA",,,,
409,CN1304700000000,13,47,"Catoosa County, GA",,,,
410,CN1304900000000,13,49,"Charlton County, GA",,,,
411,CN1305100000000,13,51,"Chatham County, GA",,,,
412,CN1305300000000,13,53,"Chattahoochee County, GA",,,,
413,CN1305500000000,13,55,"Chattooga County, GA",,,,
414,CN1305700000000,13,57,"Cherokee County, GA",,,,
415,CN1305900000000,13,59,"Clarke County, GA",,,,
416,CN1306100000000,13,61,"Clay County, GA",,,,
417,CN1306300000000,13,63,"Clayton County, GA",,,,
418,CN1306500000000,13,65,"Clinch County, GA",,,,
419,CN1306700000000,13,67,"Cobb County, GA",,,,
420,CN1306900000000,13,69,"Coffee County, GA",,,,
421,CN1307100000000,13,71,"Colquitt County, GA",,,,
422,CN1307300000000,13,73,"Columbia County, GA",,,,
423,CN1307500000000,13,75,"Cook County, GA",,,,
424,CN1307700000000,13,77,"Coweta County, GA",,,,
425,CN1307900000000,13,79,"Crawford County, GA",,,,
426,CN1308100000000,13,81,"Crisp County, GA",,,,
427,CN1308300000000,13,83,"Dade County, GA",,,,
428,CN1308500000000,13,85,"Dawson County, GA",,,,
429,CN1308700000000,13,87,"Decatur County, GA",,,,
430,CN1308900000000,13,89,"DeKalb County, GA",,,,
431,CN1309100000000,13,91,"Dodge County, GA",,,,
432,CN1309300000000,13,93,"Dooly County, GA",,,,
433,CN1309500000000,13,95,"Dougherty County, GA",,,,
434,CN1309700000000,13,97,"Douglas County, GA",,,,
435,CN1309900000000,13,99,"Early County, GA",,,,
436,CN1310100000000,13,101,"Echols County, GA",,,,
437,CN1310300000000,13,103,"Effingham County, GA",,,,
438,CN1310500000000,13,105,"Elbert County, GA",,,,
439,CN1310700000000,13,107,"Emanuel County, GA",,,,
440,CN1310900000000,13,109,"Evans County, GA",,,,
441,CN1311100000000,13,111,"Fannin County, GA",,,,
442,CN1311300000000,13,113,"Fayette County, GA",,,,
443,CN1311500000000,13,115,"Floyd County, GA",,,,
444,CN1311700000000,13,117,"Forsyth County, GA",,,,
445,CN1311900000000,13,119,"Franklin County, GA",,,,
446,CN1312100000000,13,121,"Fulton County, GA",,,,
447,CN1312300000000,13,123,"Gilmer County, GA",,,,
448,CN1312500000000,13,125,"Glascock County, GA",,,,
449,CN1312700000000,13,127,"Glynn County, GA",,,,
450,CN1312900000000,13,129,"Gordon County, GA",,,,
451,CN1313100000000,13,131,"Grady County, GA",,,,
452,CN1313300000000,13,133,"Greene County, GA",,,,
453,CN1313500000000,13,135,"Gwinnett County, GA",,,,
454,CN1313700000000,13,137,"Habersham County, GA",,,,
455,CN1313900000000,13,139,"Hall County, GA",,,,
456,CN1314100000000,13,141,"Hancock County, GA",,,,
457,CN1314300000000,13,143,"Haralson County, GA",,,,
458,CN1314500000000,13,145,"Harris County, GA",,,,
459,CN1314700000000,13,147,"Hart County, GA",,,,
460,CN1314900000000,13,149,"Heard County, GA",,,,
461,CN1315100000000,13,151,"Henry County, GA",,,,
462,CN1315300000000,13,153,"Houston County, GA",,,,
463,CN1315500000000,13,155,"Irwin County, GA",,,,
464,CN1315700000000,13,157,"Jackson County, GA",,,,
465,CN1315900000000,13,159,"Jasper County, GA",,,,
466,CN1316100000000,13,161,"Jeff Davis County, GA",,,,
467,CN1316300000000,13,163,"Jefferson County, GA",,,,
468,CN1316500000000,13,165,"Jenkins County, GA",,,,
469,CN1316700000000,13,167,"Johnson County, GA",,,,
470,CN1316900000000,13,169,"Jones County, GA",,,,
471,CN1317100000000,13,171,"Lamar County, GA",,,,
472,CN1317300000000,13,173,"Lanier County, GA",,,,
473,CN1317500000000,13,175,"Laurens County, GA",,,,
474,CN1317700000000,13,177,"Lee County, GA",,,,
475,CN1317900000000,13,179,"Liberty County, GA",,,,
476,CN1318100000000,13,181,"Lincoln County, GA",,,,
477,CN1318300000000,13,183,"Long County, GA",,,,
478,CN1318500000000,13,185,"Lowndes County, GA",,,,
479,CN1318700000000,13,187,"Lumpkin County, GA",,,,
480,CN1318900000000,13,189,"McDuffie County, GA",,,,
481,CN1319100000000,13,191,"McIntosh County, GA",,,,
482,CN1319300000000,13,193,"Macon County, GA",,,,
483,CN1319500000000,13,195,"Madison County, GA",,,,
